call_index,mission_time_s,nmpc_solve_time_ms,pid50_solve_time_ms,pid5_solve_time_ms
351,70.200,18.8726,0.0266,0.0318
352,70.400,16.5463,0.0277,0.0218
353,70.600,17.8496,0.0211,0.0216
354,70.800,18.2993,0.0217,0.0218
355,71.000,15.5825,0.0217,0.0212
356,71.200,15.9456,0.0211,0.0212
357,71.400,17.1574,0.0214,0.0213
358,71.600,16.6638,0.0210,0.0346
359,71.800,15.5420,0.0215,0.0381
360,72.000,14.7502,0.0209,0.0382
361,72.200,16.8455,0.0210,0.0220
362,72.400,17.2507,0.0275,0.0215
363,72.600,17.0704,0.0306,0.0218
364,72.800,17.7645,0.0217,0.0218
365,73.000,17.2569,0.0209,0.0212
366,73.200,19.3342,0.0214,0.0211
367,73.400,18.4673,0.0210,0.0214
368,73.600,16.1448,0.0211,0.0216
369,73.800,16.1885,0.0210,0.0213
370,74.000,15.7309,0.0210,0.0378
371,74.200,15.5725,0.0209,0.0348
372,74.400,16.0227,0.0274,0.0521
373,74.600,17.5589,0.0248,0.0372
374,74.800,18.4911,0.0231,0.0226
375,75.000,17.3102,0.0240,0.0223
376,75.200,16.1725,0.0210,0.0219
377,75.400,17.8528,0.0214,0.0225
378,75.600,19.7080,0.0218,0.0212
379,75.800,18.8921,0.0238,0.0216
380,76.000,17.6448,0.0214,0.0214
381,76.200,18.1190,0.0210,0.0382
382,76.400,18.4003,0.0209,0.0373
383,76.600,18.2648,0.0263,0.0224
384,76.800,17.4068,0.0396,0.0222
385,77.000,21.9130,0.0216,0.0219
386,77.200,27.0520,0.0214,0.0219
387,77.400,25.4575,0.0209,0.0214
388,77.600,20.6658,0.0209,0.0212
389,77.800,21.3068,0.0209,0.0213
390,78.000,21.2649,0.0208,0.0217
391,78.200,21.0258,0.0209,0.0215
392,78.400,19.2527,0.0210,0.0218
393,78.600,19.3110,0.0277,0.0218
394,78.800,24.0481,0.0260,0.0266
395,79.000,26.3901,0.0216,0.0427
396,79.200,22.7608,0.0207,0.0373
397,79.400,23.9740,0.0208,0.0220
398,79.600,21.7931,0.0206,0.0395
399,79.800,21.4702,0.0209,0.0236
400,80.000,18.2248,0.0208,0.0219
401,80.200,13.6289,0.0207,0.0214
402,80.400,13.8871,0.0213,0.0218
403,80.600,13.5773,0.0210,0.0216
404,80.800,14.7494,0.0270,0.0220
405,81.000,13.5733,0.0262,0.0393
406,81.200,13.4032,0.0212,0.0373
407,81.400,12.7859,0.0217,0.0225
408,81.600,12.9318,0.0215,0.0221
409,81.800,13.1567,0.0209,0.0219
410,82.000,12.8519,0.0209,0.0223
411,82.200,13.1457,0.0209,0.0216
412,82.400,13.2558,0.0220,0.0218
413,82.600,13.1147,0.0214,0.0220
414,82.800,14.0520,0.0271,0.0213
415,83.000,13.5712,0.0255,0.0212
416,83.200,14.1114,0.0218,0.0212
417,83.400,13.6321,0.0209,0.0229
418,83.600,14.2045,0.0208,0.0381
419,83.800,14.6136,0.0207,0.0231
420,84.000,14.0563,0.0209,0.0221
421,84.200,15.3778,0.0210,0.0219
422,84.400,15.0969,0.0209,0.0232
423,84.600,15.4894,0.0219,0.0215
424,84.800,13.8433,0.0214,0.0215
425,85.000,14.6157,0.0244,0.0225
426,85.200,13.3158,0.0238,0.0221
427,85.400,12.8236,0.0209,0.0219
428,85.600,13.7501,0.0218,0.0349
429,85.800,13.6813,0.0208,0.0429
430,86.000,14.0015,0.0209,0.0231
431,86.200,16.0061,0.0211,0.0374
432,86.400,14.5125,0.0209,0.0236
433,86.600,14.4482,0.0208,0.0224
434,86.800,14.7736,0.0225,0.0216
435,87.000,14.5947,0.0277,0.0785
436,87.200,14.8180,0.0259,0.0218
437,87.400,14.2551,0.0209,0.0216
438,87.600,14.5770,0.0208,0.0215
439,87.800,14.1988,0.0212,0.0348
440,88.000,13.4001,0.0209,0.0388
441,88.200,13.8136,0.0207,0.0221
442,88.400,13.3126,0.0208,0.0216
443,88.600,12.0825,0.0208,0.0218
444,88.800,11.1527,0.0208,0.0288
445,89.000,12.3175,0.0209,0.0218
446,89.200,11.9183,0.0213,0.0214
447,89.400,12.1842,0.0221,0.0220
448,89.600,12.2305,0.0247,0.0220
449,89.800,11.9507,0.0214,0.0213
450,90.000,11.0773,0.0208,0.0208
451,90.200,12.0263,0.0213,0.0347
452,90.400,12.4080,0.0209,0.0374
453,90.600,12.4993,0.0208,0.0390
454,90.800,12.8312,0.0207,0.0215
455,91.000,13.4623,0.0214,0.0216
456,91.200,13.1599,0.0209,0.0434
457,91.400,13.3781,0.0233,0.0225
458,91.600,13.3224,0.0251,0.0211
459,91.800,12.4871,0.0214,0.0215
460,92.000,13.2077,0.0209,0.0223
461,92.200,12.3724,0.0208,0.0219
462,92.400,11.8404,0.0209,0.0219
463,92.600,12.2901,0.0208,0.0345
464,92.800,13.1228,0.0213,0.0377
465,93.000,15.5320,0.0209,0.0225
466,93.200,15.2636,0.0213,0.0217
467,93.400,17.4257,0.0209,0.0218
468,93.600,15.7950,0.0262,0.0251
469,93.800,15.0900,0.0337,0.0217
470,94.000,13.9726,0.0208,0.0212
471,94.200,13.0442,0.0208,0.0219
472,94.400,13.1225,0.0213,0.0212
473,94.600,12.4042,0.0209,0.0212
474,94.800,13.1248,0.0237,0.0215
475,95.000,12.5952,0.0214,0.0286
476,95.200,13.1248,0.0208,0.0422
477,95.400,11.9004,0.0226,0.0374
478,95.600,12.2558,0.0313,0.0221
479,95.800,12.9559,0.0245,0.0216
480,96.000,11.4638,0.0238,0.0221
481,96.200,12.5894,0.0212,0.0328
482,96.400,12.6966,0.0244,0.0216
483,96.600,12.2390,0.0209,0.0221
484,96.800,15.4744,0.0213,0.0218
485,97.000,14.9545,0.0210,0.0221
486,97.200,12.3384,0.0210,0.0215
487,97.400,12.9298,0.0209,0.0386
488,97.600,12.8026,0.0210,0.0376
489,97.800,12.9711,0.0208,0.0226
490,98.000,12.9439,0.0253,0.0221
491,98.200,12.0625,0.0261,0.0221
492,98.400,12.2716,0.0208,0.0224
493,98.600,13.2492,0.0209,0.0214
494,98.800,13.3052,0.0213,0.0221
495,99.000,12.9895,0.0208,0.0216
496,99.200,13.1019,0.0207,0.0213
497,99.400,12.8335,0.0207,0.0214
498,99.600,11.0981,0.0206,0.0215
